booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
11353,de,1072,311847,36113,38424,5,1,2021.07.01 0:01,2021.07.19,2,2,2146,1034
11354,da,4680,132630,36853,38126,3,1,2021.07.01 0:14,2021.08.08,1,1,2255,519
11355,da,5788,281492,25296,25296,4,2,2021.07.01 0:21,2021.07.28,2,2,2297,561
11356,da,301,14119,36117,38434,3,1,2021.07.01 0:50,2021.08.09,2,2,673,902
11357,da,2362,311848,35458,35458,4,1,2021.07.01 1:07,2021.07.24,3,2,2273,561
11358,da,492,311849,37638,37795,3,1,2021.07.01 1:23,2021.07.05,2,2,4446,561
11359,da,968,311850,38082,38100,2,1,2021.07.01 7:00,2021.07.26,4,4,637,561
11360,da,7730,47351,36083,37937,2,1,2021.07.01 7:09,2021.07.08,2,2,3805,519
11361,se,3961,311648,36787,38257,2,2,2021.07.01 7:31,2021.07.22,3,3,2180,905
11362,da,1474,255531,38369,38397,3,1,2021.07.01 7:32,2021.07.19,2,2,2962,561
11363,da,1627,311851,35879,35879,2,1,2021.07.01 7:50,2021.07.29,3,3,3690,1331
11364,se,6828,311852,35626,35885,2,1,2021.07.01 7:51,2021.07.14,4,4,4695,625
11365,da,4637,311853,38418,38418,2,1,2021.07.01 7:53,2021.07.16,2,2,576,1331
11366,da,3656,139534,36862,37316,2,1,2021.07.01 7:53,2021.07.05,2,2,1377,901
11367,da,1031,311854,36173,38099,1,1,2021.07.01 7:55,2021.07.09,2,2,2339,1029
11368,da,1171,311856,35914,35914,3,1,2021.07.01 8:14,2021.07.17,2,2,3682,561
11369,se,8289,311857,37728,37728,2,1,2021.07.01 8:15,2021.07.01,2,2,2419,625
11370,se,1370,311859,37076,38203,2,1,2021.07.01 8:22,2021.07.12,2,2,2738,0
11371,da,3712,168384,36520,37051,2,1,2021.07.01 8:23,2021.09.19,2,2,4005,1029
11372,da,2995,22848,35558,37354,2,1,2021.07.01 8:25,2021.07.09,4,4,2503,519
11373,da,3712,168384,36520,37051,2,1,2021.07.01 8:27,2021.09.19,2,2,3173,1029
11374,se,7426,310047,35780,38166,2,1,2021.07.01 8:31,2021.07.09,2,2,4573,625
11375,da,1388,12685,36278,36278,1,1,2021.07.01 8:33,2021.07.08,2,2,2566,1029
11376,da,1474,311609,38369,38397,3,2,2021.07.01 8:34,2021.07.27,3,2,4219,0
11377,da,893,12685,36172,38080,1,1,2021.07.01 8:42,2021.07.07,2,2,2617,1029
11378,da,3061,180947,36798,37362,2,1,2021.07.01 8:43,2021.07.06,2,2,2453,0
11379,da,301,169273,36117,38434,3,1,2021.07.01 8:50,2021.08.19,3,3,3752,519
11380,da,1505,164899,36282,37780,3,1,2021.07.01 8:51,2021.07.14,2,2,4856,761
11381,da,6458,310818,36162,36162,2,1,2021.07.01 8:59,2021.07.13,2,2,2507,1331
11382,da,2673,137843,37984,37984,2,1,2021.07.01 9:00,2021.07.18,2,2,3038,561
11383,se,7426,104166,35780,38166,2,1,2021.07.01 9:01,2021.07.26,4,4,2859,0
11384,da,6043,68652,33818,37624,2,1,2021.07.01 9:01,2021.08.30,2,2,2136,0
11385,da,5588,189706,36695,37932,2,1,2021.07.01 9:02,2021.08.30,2,2,3789,519
